구별,살인 발생,강도 발생,강간 발생,절도 발생,폭력 발생
중구,2,3,105,"1,395","1,355"
종로구,3,6,115,"1,070","1,278"
중구,1,6,65,"1,153",869
서대문구,2,5,154,"1,812","2,056"
종로구,3,5,96,"1,114","1,015"
용산구,5,14,194,"1,557","2,050"
성북구,2,2,86,953,"1,194"
동대문구,5,13,173,"1,981","2,548"
마포구,8,14,294,"2,555","2,983"
영등포구,14,22,295,"2,964","3,572"
성동구,4,9,126,"1,607","1,612"
동작구,5,9,285,"1,865","1,910"
광진구,4,14,240,"3,026","2,625"
은평구,2,2,70,819,"1,192"
강북구,7,14,153,"1,434","2,649"
금천구,3,6,151,"1,567","2,054"
중랑구,13,11,187,"2,135","2,847"
강남구,3,15,300,"2,411","2,465"
관악구,9,12,320,"2,706","3,298"
강서구,7,13,262,"2,096","3,207"
강동구,4,6,156,"2,366","2,712"
성북구,3,3,64,832,"1,015"
구로구,8,15,281,"2,335","3,007"
서초구,7,8,334,"1,982","1,852"
양천구,3,6,120,"1,890","2,509"
송파구,11,13,220,"3,239","3,295"
노원구,10,7,197,"2,193","2,723"
서초구,1,1,59,653,547
은평구,1,7,96,"1,095","1,461"
도봉구,3,9,102,"1,063","1,487"
강남구,10,6,149,"1,439","1,819"